 Id, Vd
0.00799997,0.7292
0.00800017,0.7296
0.00800003,0.7302
0.008,0.7306
0.00800016,0.73
0.00799988,0.7298
0.00799998,0.7292
0.008,0.729
0.00800008,0.7294
0.00800007,0.7304
0.00799994,0.73
0.00799997,0.7294
0.00799999,0.7298
0.00800011,0.7292
0.00799992,0.7302
0.00800001,0.73
0.00799998,0.7302
0.00799996,0.7298
0.00800004,0.7298
0.00800009,0.7296
0.0079999,0.7292
0.00799998,0.7296
0.00799998,0.7302
0.00800006,0.7296
0.008,0.7298
0.00799998,0.7296
0.00800013,0.7296
0.00800009,0.7298
0.00800004,0.7298
0.008,0.7308
0.0080001,0.7296
0.00800003,0.7296
0.00799999,0.7292
0.00800006,0.7296
0.00800015,0.7298
0.00799992,0.7302
0.00800007,0.7298
0.00799992,0.73
0.00799996,0.7294
0.00800001,0.729
0.00800012,0.73
0.00800007,0.7298
0.00799998,0.7302
0.00800001,0.73
0.00800002,0.7296
0.00800012,0.7296
0.00799997,0.7292
0.00799995,0.7294
0.00799994,0.73
0.00800003,0.7296
0.008,0.7296
0.00800003,0.7294
0.00800009,0.7292
0.00800002,0.7294
0.00800005,0.7298
0.00799993,0.7298
0.00799996,0.73
0.00799991,0.729
0.00799993,0.7288
0.00800001,0.7292
0.00800004,0.7298
0.00800001,0.7298
0.00800008,0.7294
0.008,0.7298
0.00800005,0.7288
0.00800001,0.7296
0.00800005,0.7298
0.00799994,0.7304
0.00799986,0.73
0.00799991,0.7298
0.00799999,0.7296
0.00800002,0.7292
0.008,0.7294
0.00799997,0.7296
0.00799989,0.7292
0.00800001,0.7296
0.00799998,0.7294
0.00799937,0.729
0.008,0.729
0.00800007,0.7296
0.0080001,0.7302
0.00799987,0.7298
0.00800002,0.7286
0.00800003,0.7292
0.00800001,0.7296
0.00800001,0.7296
0.00799995,0.73
0.00800007,0.7296
0.00799983,0.7296
0.00800001,0.7294
0.00800004,0.7294
0.0079999,0.7298
0.00799999,0.7298
0.00799993,0.7302
0.00800007,0.7298
0.00800007,0.7292
0.00799995,0.7288
0.00800006,0.7288
